Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Walter,21 марта 2025,"К сожалению, впечатления от обучения в этом университете оставляют желать лучшего. Уже на этапе поступления многое было скрыто: информацию о процессе обучения в Санкт-Петербурге объясняли неполно и не совсем честно. Позже оказалось, что стоимость обучения регулярно повышается, а студентов ставят перед фактом без объяснений. Возникает много несостыковок, на которые руководство никак не реагирует. Обращения студентов остаются без ответа, как будто их мнение никого не интересует.

Качество образования тоже не оправдывает своих затрат. Особенно разочаровали занятия по социологии с преподавателем Аблаевой. Она ведёт себя предвзято: у неё есть свои любимчики, которым ставятся высокие оценки вне зависимости от их подготовки к занятиям. Остальным студентам оценки часто занижаются без объяснений.

Обстановка в деканате также оставляет неприятное впечатление. Хатько и Загородняя часто разговаривают со студентами резко и высокомерно, иногда даже на повышенных тонах. Вместо того чтобы помочь или дать нужную информацию, создаётся ощущение, что студент — это человек, к которому изначально настроены с раздражением и недоверием. Атмосфера в кабинете напряжённая, и уже при входе чувствуешь, что тебя не рады видеть.

Очень жаль, что руководство университета не обращает внимания на эти проблемы. Хочется надеяться, что ситуация изменится: отношение к студентам станет уважительным, процесс обучения — прозрачным, а преподаватели начнут оценивать знания объективно и справедливо. Университет должен быть местом, где хочется учиться, а не бороться за справедливость.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ирина Вольфовна,"11 марта 2025, отредактирован",Что на 3-этаже в 302 кабинете? Кто знает? ТяньШи?,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Milka💜,"10 марта 2025, отредактирован",Бывало и лучше,1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Марина Владимировна,5 марта 2025,"В деканате обитают настоящие животные,которые не могут нормально и спокойно обращаться со студентами.Универ полное дно,не рекомендую поступать в данное учреждение.",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ольга Увалеева (Бобкова),"16 февраля 2025, отредактирован",😀,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Насвэгал 228,"4 февраля 2025, отредактирован",Прикольный уник Свэга получил,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Fatuskar,"25 декабря 2024, отредактирован",Самый классный универ,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Vad_ SQ,"13 декабря 2024, отредактирован","Отличный университет! Особая благодарность 2 группе психологии и в частности Г-ну Коляну, который обманул весь универ со своими Таро, и Г-ну Файзулину, потому что у него шикарные усы.",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
чупапи йй,10 декабря 2024,"В универе ужасно холодно, никто не ходит и не проверяет батареи!! Они еле теплые, ближе к холодному. По санпин нормам они явно не греют, на улице температура в -, а студенты сидят в холоде!!!!!",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
S 🥷,"30 ноября 2024, отредактирован",ДЭ24БИНФ1 рулит. Люблю школьников на обед😋,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Жумабек Сергеевич,30 ноября 2024,Идеальный университет. Каждый день школьники на обед 😋,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Адель Байзакова,21 ноября 2024,"Отчислилась с АФ СПбГУП 1.5 года назад. И всё еще вспоминаю это время, как страшный сон.
Плохо всё, начиная с формата и срока обучения! Обещают 4 года и очную форму. А по итогу, по приходу в универ, вскрываются «приятные подробности», что всё зависит от того наберется-ли достаточно человек в группе.
Те, кто ведутся на обучение в Санкт-Петербурге, спешу разочаровать… Его не будет!
Качество знаний оставляет желать лучшего. По пальцам одной руки могу пересчитать грамотных преподавателей, которые действительно научили полезным навыкам.
В деканате творится полный беспредел. Так вдобавок к этому, еще и за всё нужно платить. К примеру, справка о месте обучения по месту требования обойдется вам в 200 тенге)
Инфраструктура оставляет желать лучшего. Даже комментариев на этот счет нет.
Если вы хотите поступить сюда, скажите «нет» самовыражению: снимайте пирсинги, перекрашивайте волосы.
Ну и вишенка на торте, правила университета настолько абсурдны, что даже за сладкосодержащие напитки вы получите выговор(
В общем, говорить могу долго, но лучше сдавайте ЕНТ, и не наступайте на те же грабли, что и я!😁",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Aylin Altyn,"10 ноября 2024, отредактирован","Мой любимый университет 🥰училась с далеком 2004 году , и до сих пор осталось теплое воспоминание об этом месте и хороших преподавателей❤️",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ирина Ветрова,26 октября 2024,"Поступила сюда в 2015 году ,по отзывам смотрю ничего не меняется тут,смотря на фото университета,накатывает дрожь по коже .Интересно было только первые пол года и совсем не то,что обещает университет,когда пришла на день открытых дверей,рассказывали такую сказку,а по факту совсем не интересный университет .Учится было не в удовольствие совсем .У всех учителей разное требование,наш куратор вообще не участвовала в нашей жизни ,мы ее за год могли видеть только на её парах,все вопросы решали всегда сами,помощи от нее не было никакой,ни о каких новостях не сообщала,ничего вообщем не делала . Потом на втором курсе стали учиться в обед ,потом вообще вечером.Что было очень не удобно .Как итог,я еле перевелась в другой вуз,и ни капли не сожалею.Деканат -злые как ….Обучение постоянно росло.Нам еще более менее повезло ,дальше говорят вообще не интересно стало там и преподаватели стали уходить.Не советую .",2,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Nalov .,"6 сентября 2024, отредактирован","Топ, учусь рядом, перемены совпадают и столько студентов возле магаза",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Милана Довганюк,16 августа 2024,"Поступала в 2023 году направление психология. Была воодушевлена поступлением и ожидала от данного универа только лучшее. Мои ожидания рухнули. 1 семестр прошел тяжело, так как мы пришли после школы никто толком не объяснили оценивание, выполнение заданий и срок задачи. Оценивание от преподавателей оставляет желать лучшего, занижают по баллам, переходят на «ТЫ» и используют нецензурную лексику по отношению к студентам. Лекции проходили в большинстве раз очень нудно. Многие просто засыпали)
Деканат-сущий ад. Не подойти не с одним вопросом так как начинаются крики, и нервотрепка. Жила в общежитии, про общагу ничего плохого сказать не могу, хорошие условия для проживания. Единственный минус универ не отапливался зимой, было очень холодно. Грелись как только могли, и ставили обогреватели. Ну и мое самое любимое-каждый твой шаг это деньги. Допуски, справки и.т.д После начала 2 семестра приняла решение перевестись в другой ВУЗ вот тут и началось самое веселое) Пришла в деканат с данным запросом, начали выносить мозг принеси то, заплати там. В итоге пишу заявление о переводе оплачиваю за эту же справку 7000тг. Хотя в деканате сказали что стоимость 1000) Деньги никто не вернул. Мои документы лежали больше 4-х месяцев у них так как они мне их просто не отдавали, объясняя это тем что им нужен документ о том что я поступила в другой ВУЗ. В итоге забрать документы получилось только под предлогом того что я никуда не иду учиться.
Крайне разочарована, и не советую туда поступать. Поберегите свое психическое здоровье🥰",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Nnn Erfutumorka,"13 августа 2024, отредактирован",у меня там жена учится,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Айзере Мухтар,"2 августа 2024, отредактирован",Прикольно можно сходить,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ivan Popov,1 июля 2024,"Если ты задумался, хотя бы на минуту, поступать или же нет. Не поступай.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
М К,"26 мая 2024, отредактирован",Хороший университета,4,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ольга Романова,19 мая 2024,"Закончила 1 курс и хочу поделиться своими впечатлениями об этом университете. Поступила в 2023 году на юриспруденцию. По началу все нравилось ,но постепенно вся красивая картинка рухнула. Деканат ужасный,ведет себя неподобающе,постоянно хамят,могут даже использовать нецензурные выражения,а когда нужно взять справку или решить вопрос,то вообще не принимают и выгоняют.Зимой ,а именно с конца декабря,резко в университете стало холодно,будто вообще не топили учебное заведение. И так было всю зиму,мы сидели в куртках пытаясь согреться. Эту проблему с отоплением никак не решили,но зато у самого деканата было тепло в их кабинетах.
Преподаватели юриспруденции остаются в сердечке. Особенно хотелось бы выделить Анну Александровну,это потрясающий преподаватель. Анна Александровна прекрасно объясняет на парах материал,в любое свободное время можно к ней обращаться и она поможет,подскажет. Полюбила этого преподавателя всей душой.Другие преподаватели,предметы которых не относятся к профильным,то здесь спорно. Есть кто действительно хорошо объясняет,а есть кто материал нормально преподнести студентам не могут,так еще и оценивают непонятно. Каждый раз по-разному.Кто отвечает им ниже балл,кто молчит на семинарах им больше ставят. С оцениваем беда у некоторых преподавателей и даже если к ним подходишь решать вопрос ,то они попросту игнорируют это,либо выводят все на конфликт.
Что касается больничного ,так вообще жесть.Приносишь справку,чтобы взять допуск,так присутствует вечное недовольство со стороны деканата,бывало что даже не могли принять справку и выдать допуски,так как просто не дали зайти в их кабинет(говорили,что заняты)
На счет мероприятий это отдельная история…Посвящение студентов это был сущий кошмар.Остальные праздники которые мы праздновали : Хэллоуин, Новый год,наурыз.Они были очень скудные и неинтересные.
Здание всё в трещинах. Кругом бегают школьники.Все время заходят в университет посторонние люди.
И это все было написано в крации. Как итог,я перевожусь в другой ВУЗ",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Milya Wolf,"10 мая 2024, отредактирован","1. цена менялась
2. деканат ужасный, как к ним домой приходишь
3. студенческий отдел еще хуже, что то спросить - себе дороже
4. нас не хотели отправлять в Питер, говоря, что там нет нашей специальности и вообще нас должно быть много (оказалось неправда, просто держали, чтобы дальше платить за 4 курс заочки нашему филиалу)
5. студенческая жизнь и активность дальше курилки не заходит. раз в полгода наурыз и хэллоуин, подготовка которых оставляет желать лучшего
6. посвящение в студенты это вообще отдельная история
7. половина здания не принадлежит университету. где то школа, где то мери кей, чем это мешает? как минимум школьники пихаются в гардеробе, чтобы куртку быстрее забрать. места мало в здании, ни пройти ни проехать. в случае с мери кеем, заходят выходят левые люди вообще. спрашивают «куда вам?», спокойно отвечают в мери кей и заходят шатаются по всему зданию
8. даже за справку с места обучения приходится платить

единственный плюс это преподавательский состав. лично на нашей кафедре вообще не было претензий ни к одному из преподавателей. не у всех на парах интересно, но они как минимум вызывают уважение к себе. лояльные, толерантные, а главное компетентные люди. только за них можно поставить звезду

что насчет головного вуза в Питере… там просто куча правил, которые не соблюдаются в филиалах. лично нас они никак не напрягали, но тем, кто любит выражать себя - они не подойдут. снимайте пирсинги, перекрашивайте волосы и замазывайте татуировки. персонал к вам относится более требовательнее, чем в филиалах, но при этом ты чувствуешь себя там полноценным студентом серьезного вуза

головной филиал и алматинский - две разные планеты с разными системами управления. за алматинским филиалом никто не следит, поэтому руководство там делает что хочет настолько, что некомпетентное отношение было даже к преподам, не говоря уже о студентах

итог: не рекомендую. сдавайте ент и учитесь в более серьезных организациях либо езжайте получать образование зарубежом",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
